
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001429257        995,349,207      umc_cas_cmd.all                  #  63702.3 MB/s  umc_mem_bandwidth   
    56.125450349      3,480,552,424      umc_cas_cmd.all                  # 222755.4 MB/s  umc_mem_bandwidth   
    56.125450349      1,002,967,936 ns   duration_time                                                         
    57.128439484      3,491,047,723      umc_cas_cmd.all                  # 223427.1 MB/s  umc_mem_bandwidth   
    57.128439484      1,002,989,135 ns   duration_time                                                         
    58.134427275      3,502,340,624      umc_cas_cmd.all                  # 224149.8 MB/s  umc_mem_bandwidth   
    58.134427275      1,005,987,791 ns   duration_time                                                         
    59.135983644      3,489,230,562      umc_cas_cmd.all                  # 223310.8 MB/s  umc_mem_bandwidth   
    59.135983644      1,001,556,369 ns   duration_time                                                         
    60.137435862      3,512,013,257      umc_cas_cmd.all                  # 224768.8 MB/s  umc_mem_bandwidth   
    60.137435862      1,001,452,218 ns   duration_time                                                         
    61.139004101      3,495,245,985      umc_cas_cmd.all                  # 223695.7 MB/s  umc_mem_bandwidth   
    61.139004101      1,001,568,239 ns   duration_time                                                         
    62.140437539      3,489,071,127      umc_cas_cmd.all                  # 223300.6 MB/s  umc_mem_bandwidth   
    62.140437539      1,001,433,438 ns   duration_time                                                         
    63.145445275      3,479,538,167      umc_cas_cmd.all                  # 222690.4 MB/s  umc_mem_bandwidth   
    63.145445275      1,005,007,736 ns   duration_time                                                         
    64.147002233      3,493,179,483      umc_cas_cmd.all                  # 223563.5 MB/s  umc_mem_bandwidth   
    64.147002233      1,001,556,958 ns   duration_time                                                         
    65.148440722      3,464,554,882      umc_cas_cmd.all                  # 221731.5 MB/s  umc_mem_bandwidth   
    65.148440722      1,001,438,489 ns   duration_time                                                         
    66.150026130      3,461,827,181      umc_cas_cmd.all                  # 221556.9 MB/s  umc_mem_bandwidth   
    66.150026130      1,001,585,408 ns   duration_time                                                         
    67.155440958      3,476,118,804      umc_cas_cmd.all                  # 222471.6 MB/s  umc_mem_bandwidth   
    67.155440958      1,005,414,828 ns   duration_time                                                         
    68.156443454      3,472,769,648      umc_cas_cmd.all                  # 222257.3 MB/s  umc_mem_bandwidth   
    68.156443454      1,001,002,496 ns   duration_time                                                         
    69.161449160      3,486,091,160      umc_cas_cmd.all                  # 223109.8 MB/s  umc_mem_bandwidth   
    69.161449160      1,005,005,706 ns   duration_time                                                         
    70.163001708      3,476,102,959      umc_cas_cmd.all                  # 222470.6 MB/s  umc_mem_bandwidth   
    70.163001708      1,001,552,548 ns   duration_time                                                         
    71.164445687      3,476,518,238      umc_cas_cmd.all                  # 222497.2 MB/s  umc_mem_bandwidth   
    71.164445687      1,001,443,979 ns   duration_time                                                         
    72.165442882      3,463,705,754      umc_cas_cmd.all                  # 221677.2 MB/s  umc_mem_bandwidth   
    72.165442882      1,000,997,195 ns   duration_time                                                         
    73.168430208      3,457,896,270      umc_cas_cmd.all                  # 221305.4 MB/s  umc_mem_bandwidth   
    73.168430208      1,002,987,326 ns   duration_time                                                         
    74.169459694      3,490,868,808      umc_cas_cmd.all                  # 223415.6 MB/s  umc_mem_bandwidth   
    74.169459694      1,001,029,486 ns   duration_time                                                         
    75.170447320      3,472,602,524      umc_cas_cmd.all                  # 222246.6 MB/s  umc_mem_bandwidth   
    75.170447320      1,000,987,626 ns   duration_time                                                         
    76.174419471      3,476,350,090      umc_cas_cmd.all                  # 222486.4 MB/s  umc_mem_bandwidth   
    76.174419471      1,003,972,151 ns   duration_time                                                         
    77.175433107      3,457,656,612      umc_cas_cmd.all                  # 221290.0 MB/s  umc_mem_bandwidth   
    77.175433107      1,001,013,636 ns   duration_time                                                         
    78.176434382      3,511,245,412      umc_cas_cmd.all                  # 224719.7 MB/s  umc_mem_bandwidth   
    78.176434382      1,001,001,275 ns   duration_time                                                         
#           time             counts unit events
    79.177444948      3,518,755,323      umc_cas_cmd.all                  # 225200.3 MB/s  umc_mem_bandwidth   
    79.177444948      1,001,010,566 ns   duration_time                                                         
    80.178435514      3,494,163,918      umc_cas_cmd.all                  # 223626.5 MB/s  umc_mem_bandwidth   
    80.178435514      1,000,990,566 ns   duration_time                                                         
    81.182419795      3,510,668,119      umc_cas_cmd.all                  # 224682.8 MB/s  umc_mem_bandwidth   
    81.182419795      1,003,984,281 ns   duration_time                                                         
    82.183438091      3,487,900,027      umc_cas_cmd.all                  # 223225.6 MB/s  umc_mem_bandwidth   
    82.183438091      1,001,018,296 ns   duration_time                                                         
    83.184439597      3,459,402,675      umc_cas_cmd.all                  # 221401.8 MB/s  umc_mem_bandwidth   
    83.184439597      1,001,001,506 ns   duration_time                                                         
    84.185439972      3,467,423,642      umc_cas_cmd.all                  # 221915.1 MB/s  umc_mem_bandwidth   
    84.185439972      1,001,000,375 ns   duration_time                                                         
    85.186433608      3,480,608,717      umc_cas_cmd.all                  # 222759.0 MB/s  umc_mem_bandwidth   
    85.186433608      1,000,993,636 ns   duration_time                                                         
    86.191427974      3,486,118,792      umc_cas_cmd.all                  # 223111.6 MB/s  umc_mem_bandwidth   
    86.191427974      1,004,994,366 ns   duration_time                                                         
    87.192446670      3,485,267,147      umc_cas_cmd.all                  # 223057.1 MB/s  umc_mem_bandwidth   
    87.192446670      1,001,018,696 ns   duration_time                                                         
    88.193439436      3,472,033,733      umc_cas_cmd.all                  # 222210.2 MB/s  umc_mem_bandwidth   
    88.193439436      1,000,992,766 ns   duration_time                                                         
    89.194437472      3,457,260,322      umc_cas_cmd.all                  # 221264.7 MB/s  umc_mem_bandwidth   
    89.194437472      1,000,998,036 ns   duration_time                                                         
    90.195433868      3,489,912,820      umc_cas_cmd.all                  # 223354.4 MB/s  umc_mem_bandwidth   
    90.195433868      1,000,996,396 ns   duration_time                                                         
    91.196978546      3,489,944,188      umc_cas_cmd.all                  # 223356.4 MB/s  umc_mem_bandwidth   
    91.196978546      1,001,544,678 ns   duration_time                                                         
    92.200438554      3,490,540,960      umc_cas_cmd.all                  # 223394.6 MB/s  umc_mem_bandwidth   
    92.200438554      1,003,460,008 ns   duration_time                                                         
    93.201988283      3,478,351,071      umc_cas_cmd.all                  # 222614.5 MB/s  umc_mem_bandwidth   
    93.201988283      1,001,549,729 ns   duration_time                                                         
    94.204423846      3,470,282,839      umc_cas_cmd.all                  # 222098.1 MB/s  umc_mem_bandwidth   
    94.204423846      1,002,435,563 ns   duration_time                                                         
    95.210446847      3,469,560,664      umc_cas_cmd.all                  # 222051.9 MB/s  umc_mem_bandwidth   
    95.210446847      1,006,023,001 ns   duration_time                                                         
    96.211989766      3,491,133,871      umc_cas_cmd.all                  # 223432.6 MB/s  umc_mem_bandwidth   
    96.211989766      1,001,542,919 ns   duration_time                                                         
    97.213455244      3,493,896,718      umc_cas_cmd.all                  # 223609.4 MB/s  umc_mem_bandwidth   
    97.213455244      1,001,465,478 ns   duration_time                                                         
    98.215037983      3,495,792,767      umc_cas_cmd.all                  # 223730.7 MB/s  umc_mem_bandwidth   
    98.215037983      1,001,582,739 ns   duration_time                                                         
    99.220442821      3,560,353,840      umc_cas_cmd.all                  # 227862.6 MB/s  umc_mem_bandwidth   
    99.220442821      1,005,404,838 ns   duration_time                                                         
   100.222448102      3,492,056,557      umc_cas_cmd.all                  # 223491.6 MB/s  umc_mem_bandwidth   
   100.222448102      1,002,005,281 ns   duration_time                                                         
   101.224458753      3,524,528,630      umc_cas_cmd.all                  # 225569.8 MB/s  umc_mem_bandwidth   
   101.224458753      1,002,010,651 ns   duration_time                                                         
   102.226435524      3,488,083,034      umc_cas_cmd.all                  # 223237.3 MB/s  umc_mem_bandwidth   
   102.226435524      1,001,976,771 ns   duration_time                                                         
   103.228019122      3,498,465,633      umc_cas_cmd.all                  # 223901.8 MB/s  umc_mem_bandwidth   
   103.228019122      1,001,583,598 ns   duration_time                                                         
   104.232473725      3,489,003,289      umc_cas_cmd.all                  # 223296.2 MB/s  umc_mem_bandwidth   
   104.232473725      1,004,454,603 ns   duration_time                                                         
#           time             counts unit events
   105.235006399      3,475,336,817      umc_cas_cmd.all                  # 222421.6 MB/s  umc_mem_bandwidth   
   105.235006399      1,002,532,674 ns   duration_time                                                         
   106.239427712      3,509,077,485      umc_cas_cmd.all                  # 224581.0 MB/s  umc_mem_bandwidth   
   106.239427712      1,004,421,313 ns   duration_time                                                         
   107.241471373      3,482,721,592      umc_cas_cmd.all                  # 222894.2 MB/s  umc_mem_bandwidth   
   107.241471373      1,002,043,661 ns   duration_time                                                         
   108.246477469      3,486,514,247      umc_cas_cmd.all                  # 223136.9 MB/s  umc_mem_bandwidth   
   108.246477469      1,005,006,096 ns   duration_time                                                         
   109.248008298      3,466,985,134      umc_cas_cmd.all                  # 221887.0 MB/s  umc_mem_bandwidth   
   109.248008298      1,001,530,829 ns   duration_time                                                         
   110.251445536      3,475,185,070      umc_cas_cmd.all                  # 222411.8 MB/s  umc_mem_bandwidth   
   110.251445536      1,003,437,238 ns   duration_time                                                         
   111.256452862      3,487,585,288      umc_cas_cmd.all                  # 223205.5 MB/s  umc_mem_bandwidth   
   111.256452862      1,005,007,326 ns   duration_time                                                         
   112.258022590      3,459,807,263      umc_cas_cmd.all                  # 221427.7 MB/s  umc_mem_bandwidth   
   112.258022590      1,001,569,728 ns   duration_time                                                         
   113.259463418      3,495,890,486      umc_cas_cmd.all                  # 223737.0 MB/s  umc_mem_bandwidth   
   113.259463418      1,001,440,828 ns   duration_time                                                         
   114.262465004      3,360,782,392      umc_cas_cmd.all                  # 215090.1 MB/s  umc_mem_bandwidth   
   114.262465004      1,003,001,586 ns   duration_time                                                         
} END Insert TEST

   115.265721471      2,970,067,123      umc_cas_cmd.all                  # 190084.3 MB/s  umc_mem_bandwidth   
   115.265721471      1,003,256,467 ns   duration_time                                                         

START FIND TEST {
   116.268455116      3,205,017,420      umc_cas_cmd.all                  # 205121.1 MB/s  umc_mem_bandwidth   
   116.268455116      1,002,733,645 ns   duration_time                                                         
   117.269458922      5,190,209,534      umc_cas_cmd.all                  # 332173.4 MB/s  umc_mem_bandwidth   
   117.269458922      1,001,003,806 ns   duration_time                                                         
   118.270463747      5,216,173,552      umc_cas_cmd.all                  # 333835.1 MB/s  umc_mem_bandwidth   
   118.270463747      1,001,004,825 ns   duration_time                                                         
