
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001923346        646,493,440      umc_cas_cmd.all                  #  41375.6 MB/s  umc_mem_bandwidth   
    58.131504268      1,001,551,157 ns   duration_time                                                         
    59.132941465      4,319,408,998      umc_cas_cmd.all                  # 276442.2 MB/s  umc_mem_bandwidth   
    59.132941465      1,001,437,197 ns   duration_time                                                         
    60.136948845      4,353,088,205      umc_cas_cmd.all                  # 278597.6 MB/s  umc_mem_bandwidth   
    60.136948845      1,004,007,380 ns   duration_time                                                         
    61.138525712      4,323,186,814      umc_cas_cmd.all                  # 276684.0 MB/s  umc_mem_bandwidth   
    61.138525712      1,001,576,867 ns   duration_time                                                         
    62.144943963      4,333,882,854      umc_cas_cmd.all                  # 277368.5 MB/s  umc_mem_bandwidth   
    62.144943963      1,006,418,251 ns   duration_time                                                         
    63.146521671      4,320,900,004      umc_cas_cmd.all                  # 276537.6 MB/s  umc_mem_bandwidth   
    63.146521671      1,001,577,708 ns   duration_time                                                         
    64.148974483      4,299,396,314      umc_cas_cmd.all                  # 275161.4 MB/s  umc_mem_bandwidth   
    64.148974483      1,002,452,812 ns   duration_time                                                         
    65.151957777      4,317,433,852      umc_cas_cmd.all                  # 276315.8 MB/s  umc_mem_bandwidth   
    65.151957777      1,002,983,294 ns   duration_time                                                         
    66.153525165      4,298,528,382      umc_cas_cmd.all                  # 275105.8 MB/s  umc_mem_bandwidth   
    66.153525165      1,001,567,388 ns   duration_time                                                         
    67.156944121      4,294,185,578      umc_cas_cmd.all                  # 274827.9 MB/s  umc_mem_bandwidth   
    67.156944121      1,003,418,956 ns   duration_time                                                         
    68.159952906      4,334,334,173      umc_cas_cmd.all                  # 277397.4 MB/s  umc_mem_bandwidth   
    68.159952906      1,003,008,785 ns   duration_time                                                         
    69.161526534      4,345,197,636      umc_cas_cmd.all                  # 278092.6 MB/s  umc_mem_bandwidth   
    69.161526534      1,001,573,628 ns   duration_time                                                         
    70.163958775      4,368,722,726      umc_cas_cmd.all                  # 279598.3 MB/s  umc_mem_bandwidth   
    70.163958775      1,002,432,241 ns   duration_time                                                         
    71.166925980      4,360,457,968      umc_cas_cmd.all                  # 279069.3 MB/s  umc_mem_bandwidth   
    71.166925980      1,002,967,205 ns   duration_time                                                         
    72.168942180      4,355,172,757      umc_cas_cmd.all                  # 278731.1 MB/s  umc_mem_bandwidth   
    72.168942180      1,002,016,200 ns   duration_time                                                         
    73.172968409      4,369,956,354      umc_cas_cmd.all                  # 279677.2 MB/s  umc_mem_bandwidth   
    73.172968409      1,004,026,229 ns   duration_time                                                         
    74.174530427      4,385,366,149      umc_cas_cmd.all                  # 280663.4 MB/s  umc_mem_bandwidth   
